combo,k,dates,picks,edge,win,p
mom_bot30 + market_up + far_fomc,3,83,105.0,-0.12018576897189227,43.373493975903614,0.616
mom_bot30 + market_up,2,93,105.0,-0.1262272465172335,40.86021505376344,0.629
q_uptrend + far_fomc,2,91,252.2087912087912,-0.13007670126860388,52.74725274725275,0.385
at_support + mom_bot30,2,105,48.923809523809524,-0.13887283396259015,44.761904761904766,0.615
q_uptrend + scared_vix,2,54,216.1851851851852,-0.1400148108091313,51.85185185185185,0.614
q_stable + mom_top30 + market_up,3,93,83.56989247311827,-0.14190044113253197,54.83870967741935,0.596
in_fvg + mom_bot30 + market_up,3,79,12.91139240506329,-0.14260294593038814,49.36708860759494,0.782
at_support + in_fvg + far_fomc,3,76,13.881578947368421,-0.1473473353299523,46.05263157894737,0.782
q_stable + mom_top30,2,105,84.91428571428571,-0.1493622385658182,53.333333333333336,0.547
at_support + scared_vix + market_up,3,42,108.78571428571429,-0.15181844489259066,45.23809523809524,0.535
q_uptrend + q_stable + mom_top30,3,105,83.55238095238096,-0.15599390472708524,51.42857142857142,0.549
in_fvg + q_stable + calm_vix,3,44,15.818181818181818,-0.1574425742631202,56.81818181818182,0.727
q_stable + mom_top30 + far_fomc,3,91,84.7032967032967,-0.16051346108377856,56.043956043956044,0.554
at_support + q_uptrend + scared_vix,3,53,53.0377358490566,-0.17582121234877063,47.16981132075472,0.622
at_support + scared_vix,2,54,113.0925925925926,-0.1812377876579129,50.0,0.412
q_stable + mom_top30 + calm_vix,3,51,81.3529411764706,-0.18364537819510385,47.05882352941176,0.495
mom_bot30 + calm_vix + market_up,3,51,105.0,-0.20333831688479972,45.09803921568628,0.424
mom_bot30 + calm_vix,2,51,105.0,-0.20870580034631617,47.05882352941176,0.424
in_fvg + q_uptrend + mom_bot30,3,30,8.566666666666666,-0.22130848694964736,36.666666666666664,0.786
at_support + mom_bot30 + calm_vix,3,51,52.64705882352941,-0.25672159610631407,43.13725490196079,0.438
mom_bot30 + calm_vix + far_fomc,3,46,105.0,-0.2634909518090745,43.47826086956522,0.29
q_uptrend + mom_bot30 + market_up,3,82,37.573170731707314,-0.26763920520626067,43.90243902439025,0.518
in_fvg + q_lowvol + q_uptrend,3,65,11.538461538461538,-0.2812132347490572,43.07692307692308,0.626
q_uptrend + mom_bot30,2,82,37.573170731707314,-0.28269213069694893,45.1219512195122,0.507
at_support + q_uptrend + q_stable,3,102,29.470588235294116,-0.2930293129363565,47.05882352941176,0.3
at_support + in_fvg + calm_vix,3,44,10.772727272727273,-0.29814520466379657,43.18181818181818,0.686
at_support + mom_bot30 + far_fomc,3,91,50.604395604395606,-0.2989097511951659,41.75824175824176,0.322
at_support + q_stable,2,103,35.12621359223301,-0.316749672978903,50.48543689320388,0.274
q_stable + calm_vix + far_fomc,3,46,176.0,-0.3225094904794795,45.65217391304348,0.155
