signal,top_n,trend_filter,vol_screen,regime,weight,dates,sel,ctrl,edge,win,worst,p
mom252,10,,,,invvol,105,5.236822323962655,4.236315033867098,1.0005072900955585,60.0,-15.59050148381726,
mom126_s21,20,,,,invvol,105,5.213170511219715,4.224185323906812,0.9889851873129029,58.0952380952381,-16.207018834232546,
blend,30,above200,,spy_up,equal,93,4.577210654885562,3.6045080590398437,0.9727025958457182,65.59139784946237,-7.936624320107481,
blend,30,,,spy_up,equal,93,4.577210654885562,3.6045080590398437,0.9727025958457182,65.59139784946237,-7.936624320107481,
mom252,10,above200,,,invvol,105,5.208987878720564,4.236315033867098,0.9726728448534675,60.0,-15.59050148381726,
mom189,20,above50,,,equal,104,5.239376515196,4.269502127686027,0.9698743875099728,61.53846153846154,-12.170435937484049,
blend,20,above50,,,equal,104,5.234480872021726,4.269502127686027,0.9649787443356993,62.5,-9.424428498038498,
mom189,30,,,,equal,105,5.157105186756164,4.197725115970058,0.9593800707861047,58.0952380952381,-12.144907821427056,
mom189,20,,,,invvol,105,5.1807619179799325,4.224185323906812,0.9565765940731201,59.04761904761905,-15.551183471664054,
mom189,30,above200,,,equal,105,5.15159786186113,4.197725115970058,0.9538727458910709,59.04761904761905,-12.144907821427056,
mom252_s21,20,,,,equal,105,5.175948639431818,4.224185323906812,0.9517633155250051,54.285714285714285,-12.250303311312036,
mom189,20,above200,,,invvol,105,5.1748372718299605,4.224185323906812,0.9506519479231481,60.0,-15.551183471664054,
mom63,50,above200,,spy_up,equal,93,4.557202269633735,3.64115909852316,0.9160431711105737,66.66666666666666,-5.902953797164848,
mom126_s21,30,above50,,,equal,103,4.979839693369789,4.065137123289002,0.9147025700807861,60.19417475728155,-11.1518817410474,
mom126,50,,,spy_up,equal,93,4.55509842507158,3.64115909852316,0.9139393265484199,60.215053763440864,-12.738934450153222,
mom126_s21,20,above200,,,invvol,105,5.137981950122447,4.224185323906812,0.9137966262156341,57.14285714285714,-16.207018834232546,
mom252_s21,20,,,spy_up,equal,93,4.539130974774238,3.625500421375437,0.9136305533988011,54.83870967741935,-12.250303311312036,
mom126_s21,50,,,spy_up,equal,93,4.551503853240814,3.64115909852316,0.9103447547176541,62.365591397849464,-10.410854862453478,
mom126,20,above50,,,invvol,104,5.167785265482046,4.269502127686027,0.8982831377960198,58.65384615384615,-11.476971532862693,
mom252_s21,10,above200,,,invvol,105,5.1269752274727844,4.236315033867098,0.8906601936056885,59.04761904761905,-16.006865621737738,
mom63,50,,,spy_up,equal,93,4.530995573796879,3.64115909852316,0.8898364752737195,63.44086021505376,-5.902953797164848,
mom63,30,above50,,,equal,103,4.943509047105249,4.065137123289002,0.8783719238162478,65.0485436893204,-8.315617502963034,
mom126_s21,50,above200,,spy_up,equal,93,4.507858373540654,3.64115909852316,0.8666992750174937,61.29032258064516,-10.925506008081182,
mom126,50,above200,,spy_up,equal,93,4.50736825970111,3.64115909852316,0.8662091611779492,60.215053763440864,-12.738934450153222,
mom63,20,above50,,,invvol,104,5.123974396053814,4.269502127686027,0.854472268367789,62.5,-8.539156399767343,
blend,30,,,,equal,105,5.0442771111462035,4.197725115970058,0.8465519951761447,63.8095238095238,-8.215287186296544,
blend,30,above200,,,equal,105,5.043022219118553,4.197725115970058,0.8452971031484948,63.8095238095238,-8.215287186296544,
mom126,50,,,,equal,105,5.05924888807315,4.234273954656367,0.8249749334167833,59.04761904761905,-12.738934450153222,
