signal,top_n,trend_filter,vol_screen,regime,weight,dates,sel,ctrl,edge,win,worst,p
blend,20,above50,,spy_up,equal,93,4.840363982724963,3.625500421375437,1.2148635613495267,65.59139784946237,-8.405195723244615,
mom126,30,above200,,,equal,105,5.411274688992389,4.197725115970058,1.2135495730223296,60.952380952380956,-12.552250993435019,
mom63,20,,,,invvol,105,5.4224698423957065,4.224185323906812,1.1982845184888937,66.66666666666666,-7.408515097788975,
mom126,20,,,,invvol,105,5.390057693442642,4.224185323906812,1.1658723695358288,60.0,-11.863468922487383,
mom63,30,above200,,,equal,105,5.360587548231927,4.197725115970058,1.1628624322618686,66.66666666666666,-8.26359316125005,
mom189,20,above50,,spy_up,equal,93,4.775837773638178,3.625500421375437,1.1503373522627398,64.51612903225806,-12.170435937484049,
mom126,30,above50,,spy_up,equal,93,4.751596958735432,3.6045080590398437,1.1470888996955875,62.365591397849464,-11.667690420037689,
mom63,20,above200,,,invvol,105,5.370347349040556,4.224185323906812,1.146162025133743,63.8095238095238,-7.408515097788975,
mom189,20,above200,,spy_up,invvol,93,4.767050651643903,3.625500421375437,1.1415502302684635,62.365591397849464,-15.551183471664054,
mom126,20,above200,,,invvol,105,5.3607524644402185,4.224185323906812,1.1365671405334061,59.04761904761905,-11.863468922487383,
mom252,10,above200,,spy_up,invvol,93,4.761648925125264,3.634754009647757,1.126894915477506,60.215053763440864,-15.59050148381726,
mom252,10,,,spy_up,invvol,93,4.761026863775564,3.634754009647757,1.126272854127807,60.215053763440864,-15.59050148381726,
mom63,20,above50,,spy_up,invvol,93,4.750958741017775,3.625500421375437,1.125458319642338,64.51612903225806,-8.539156399767343,
mom126_s21,20,,,spy_up,invvol,93,4.748816177846578,3.625500421375437,1.1233157564711393,60.215053763440864,-16.207018834232546,
mom189,20,,,spy_up,invvol,93,4.741019623900921,3.625500421375437,1.1155192025254816,61.29032258064516,-15.551183471664054,
mom252_s21,10,,,,invvol,105,5.334281692314582,4.236315033867098,1.097966658447485,58.0952380952381,-16.006865621737738,
mom126_s21,30,,,,equal,105,5.291978434675973,4.197725115970058,1.0942533187059142,61.904761904761905,-12.309825887827925,
mom63,30,,,,equal,105,5.290317278558792,4.197725115970058,1.0925921625887334,68.57142857142857,-8.26359316125005,
mom189,30,above200,,spy_up,equal,93,4.685767233065275,3.6045080590398437,1.0812591740254305,62.365591397849464,-12.144907821427056,
mom189,30,,,spy_up,equal,93,4.672621545283871,3.6045080590398437,1.068113486244027,61.29032258064516,-12.144907821427056,
mom63,30,above50,,spy_up,equal,93,4.668705331046312,3.6045080590398437,1.0641972720064694,66.66666666666666,-8.315617502963034,
mom126_s21,30,above50,,spy_up,equal,93,4.667148045094051,3.6045080590398437,1.0626399860542068,62.365591397849464,-11.1518817410474,
mom126,20,above50,,spy_up,invvol,93,4.68400636858174,3.625500421375437,1.058505947206302,60.215053763440864,-11.476971532862693,
mom126,30,above50,,,equal,103,5.121537711963872,4.065137123289002,1.0564005886748682,61.165048543689316,-11.667690420037689,
mom126_s21,30,above200,,,equal,105,5.241299494355185,4.197725115970058,1.0435743783851263,60.952380952380956,-12.309825887827925,
mom126_s21,20,above200,,spy_up,invvol,93,4.656646366258644,3.625500421375437,1.0311459448832057,59.13978494623656,-16.207018834232546,
mom252_s21,10,,,spy_up,invvol,93,4.651156254567937,3.634754009647757,1.01640224492018,59.13978494623656,-16.006865621737738,
mom126_s21,20,above50,,,equal,104,5.2844080754843885,4.269502127686027,1.0149059477983622,55.769230769230774,-13.559086654069896,
